"","personid","yob","sex","edu","childincomecompare","adultincome","y92_simscore","y04_letterflu","y04_catflu","y04_simscore","y04_digit","y04_imrecall","y11_remember","y11_solve","y11_letterflu","y11_catflu","y11_digit","y11_imrecall","y04_involvechar","y04_involveorgs","y04_volrarelythink","y04_volloss","y04_volselfimport","y04_involvehobby","y04_involveinstru10","y04_involveinstru35"
"2719",908782,39,1,-2,3,107000,11,8,-2,7,6,3,2,2,-4,-2,9,4,1,1,1,7,7,1,2,1
"2721",908785,39,2,-2,3,53000,4,6,24,4,0,7,2,3,4,25,5,4,1,1,5,7,7,1,3,3
"2723",908787,37,1,-2,3,75000,8,15,-2,-4,9,5,1,1,11,-2,10,6,1,1,1,6,6,1,3,3
"2724",908797,39,1,2,4,70000,9,10,-2,8,10,7,1,1,9,-2,8,8,1,1,7,7,7,3,3,3
"2727",908803,39,2,3,4,70600,11,-2,-2,7,-2,-2,2,2,10,-2,-2,-2,-3,1,7,1,1,-3,1,1
"2728",908805,39,1,-2,3,28000,7,8,9,5,3,5,1,1,10,15,5,3,1,1,2,6,6,1,-3,-3
"2731",908812,39,2,2,4,76500,14,-2,-2,11,-2,-2,2,1,8,-2,-2,-2,2,1,-3,-3,-3,4,1,3
"2734",908823,39,2,-2,3,76000,6,-2,-2,8,-2,-2,1,1,12,-2,-2,-2,1,1,4,4,4,1,3,3
"2735",908827,39,2,-2,3,29768,8,16,-2,6,7,7,1,1,15,-2,10,7,1,1,3,3,3,1,3,3
"2736",908828,39,1,4,4,97000,12,11,16,5,12,8,2,1,13,22,8,5,1,1,5,7,5,1,3,3
"2738",908833,39,1,-2,4,123000,9,14,28,9,0,6,1,1,-4,-4,6,5,2,1,3,7,6,2,3,3
"2739",908835,39,2,2,2,87000,6,12,-2,4,12,9,1,1,12,-2,6,8,3,1,7,5,2,1,2,2
"2740",908839,38,1,1,4,27200,9,15,-2,7,6,5,1,1,19,-2,11,5,2,1,4,6,3,2,3,3
"2742",908845,38,1,2,2,90000,11,-2,-2,9,-2,-2,1,1,6,-2,-2,-2,1,1,6,5,4,1,3,3
"2743",908857,39,1,3,3,16000,9,10,26,9,5,8,1,1,14,14,6,5,1,1,6,6,6,1,3,3
"2744",908862,38,2,2,2,80000,11,12,20,9,10,6,1,1,14,-4,8,4,3,2,7,2,1,2,2,2
"2750",908871,39,2,-2,2,30000,8,3,16,7,9,7,1,1,6,15,8,8,1,1,2,7,5,1,3,3
"2751",908872,39,2,-2,3,56700,7,7,-2,6,9,5,2,3,6,-2,7,6,3,1,4,4,4,1,3,3
"2752",908874,39,2,-2,3,1e+05,9,-2,-2,6,-2,-2,2,2,18,-2,-2,-2,1,1,4,6,4,1,3,3
"2755",908882,39,1,2,3,76000,8,11,-2,5,10,5,1,1,10,-2,6,7,1,4,4,4,6,1,3,3
"2756",908888,39,2,-2,3,69600,6,10,-2,7,0,6,1,1,14,-2,6,6,4,1,-3,-3,-3,1,3,3
"2759",908899,39,2,-2,3,11400,6,9,25,2,10,8,2,2,10,18,8,5,3,1,6,-3,-3,3,3,3
"2763",908911,38,1,-2,3,48920,7,12,25,7,11,8,1,1,11,16,0,4,3,1,3,6,4,1,3,3
"2764",908912,39,2,-2,3,21000,9,10,-2,7,6,5,2,2,12,-2,6,3,-3,-3,3,6,4,3,3,3
"2765",908914,39,2,-2,3,18000,12,17,22,8,8,8,2,1,14,24,7,5,1,1,3,4,3,1,3,3
"2768",908918,38,1,-2,5,48000,8,-3,-3,-4,-3,-3,2,1,12,13,9,6,3,1,-3,-3,-3,1,-3,-3
"2770",908927,39,2,-2,3,3e+05,10,-2,-2,9,-2,-2,1,1,10,-2,-2,-2,1,1,2,7,7,1,3,3
"2773",908947,38,1,-2,3,31870,7,13,24,8,7,4,1,1,10,20,8,6,1,1,1,1,7,1,3,3
"2775",908953,39,1,4,4,68000,10,14,-2,9,6,8,1,1,7,-2,7,6,2,2,6,2,2,1,3,3
"2776",908955,37,2,-2,-3,966,3,9,15,5,5,4,2,1,5,16,7,8,-3,-3,1,7,-3,-3,-3,-3
"2777",908960,39,1,-2,4,18348,11,12,13,9,8,5,1,1,13,18,8,8,3,1,6,4,5,1,3,3
"2781",908975,39,2,-2,3,61400,6,9,-2,6,10,6,1,1,15,-2,7,7,1,1,6,2,2,1,2,2
"2782",908976,39,2,-2,3,63500,7,10,22,6,5,5,1,2,9,16,7,5,1,1,3,2,3,1,2,2
"2783",908977,39,2,-2,3,40000,5,-4,-4,-4,-3,-4,2,1,8,20,5,6,-3,-3,3,5,5,-3,3,3
"2784",908979,39,2,-2,4,164000,11,-2,-2,4,-2,-2,1,1,7,-2,-2,-2,1,3,6,4,4,4,3,3
"2786",908988,39,2,-2,4,52000,9,13,-2,8,7,8,1,1,10,-2,8,7,4,1,7,1,7,2,2,2
"2787",908990,39,2,-2,2,41000,6,14,20,9,11,4,2,1,13,23,6,5,1,1,4,7,7,1,3,3
"2788",908992,39,2,-2,4,62444,13,16,18,6,12,6,1,1,17,19,11,6,1,1,5,4,5,1,2,2
"2789",908997,39,2,2,3,0,8,4,20,8,2,3,2,1,7,17,4,4,1,1,6,4,2,5,-3,-3
"2793",909006,39,1,-2,3,85000,10,10,-2,8,8,-4,1,1,13,-2,10,6,1,1,3,3,3,1,2,2
"2798",909013,38,2,-2,3,0,4,-3,19,1,10,7,1,2,-4,-3,0,5,3,1,7,1,1,-3,3,3
"2803",909031,39,2,-2,3,52000,5,8,19,6,7,4,1,1,-30,-30,-30,-30,1,1,1,7,7,1,3,-3
"2805",909036,39,1,-2,3,60400,8,31,24,8,3,4,2,1,25,26,4,6,1,1,2,6,6,1,2,1
"2806",909038,37,1,-2,3,0,3,8,-2,2,8,6,1,1,6,-2,9,6,1,1,1,1,1,1,3,3
"2807",909039,39,2,-2,3,74000,6,13,19,9,7,6,1,2,-30,-30,-30,-30,1,1,5,4,5,1,1,2
"2808",909040,38,1,1,2,87000,10,-2,-2,6,-2,-2,2,1,-3,-2,-2,-2,1,1,7,3,5,1,3,3
"2813",909057,39,2,3,4,3e+05,14,11,25,10,8,8,1,1,12,21,8,7,4,4,7,1,2,1,2,2
"2815",909060,39,1,-2,5,52300,10,16,15,5,10,4,2,3,-27,-27,-27,-27,3,3,3,3,3,2,2,1
"2816",909072,39,1,-2,4,38600,6,4,-2,9,6,5,1,1,11,-2,8,3,2,3,4,5,5,1,3,3
"2817",909073,39,2,2,4,207800,13,18,23,6,11,10,1,1,15,16,11,8,4,2,3,4,5,3,3,3
"2818",909075,39,1,2,4,80000,9,6,18,7,11,5,1,1,9,18,6,5,1,1,4,5,5,1,3,3
"2819",909076,39,2,-2,3,66500,8,11,16,8,7,6,1,1,10,18,7,5,4,1,6,1,1,1,3,3
"2820",909080,38,1,-2,3,73000,9,15,21,10,6,5,2,1,11,21,6,6,1,1,3,3,3,1,3,3
"2822",909089,38,1,2,2,50000,7,6,19,8,11,9,2,1,15,18,8,6,2,1,4,4,4,1,3,3
"2823",909090,40,1,-2,5,31000,10,11,28,5,5,6,1,1,7,26,6,5,1,2,2,7,5,1,3,3
"2826",909105,38,1,-2,4,3e+05,10,9,23,8,10,5,1,1,8,11,6,5,1,3,7,2,2,5,3,3
"2827",909107,39,2,-2,3,32700,9,-2,-2,5,-2,-2,1,1,-30,-30,-30,-30,1,1,2,6,6,-3,3,3
"2828",909108,39,2,-2,3,49300,7,12,19,8,5,4,1,1,13,15,6,5,1,1,4,7,6,1,2,2
"2830",909114,39,2,-2,3,72000,10,13,19,6,10,6,2,1,11,16,6,4,3,2,5,4,4,1,3,3
"2832",909121,39,2,2,3,65000,9,17,27,6,11,5,1,1,11,24,10,6,1,1,6,4,4,2,3,3
"2833",909122,39,2,-2,3,22000,7,10,-2,4,9,8,1,1,7,-2,7,10,4,2,7,1,1,1,3,3
"2834",909123,39,1,-2,3,60200,8,4,-2,5,0,6,2,1,7,-2,8,6,1,1,1,7,7,1,3,3
"2836",909131,39,1,-2,4,61000,10,-2,-2,7,-2,-2,1,1,13,-2,-2,-2,1,1,7,4,4,1,1,1
"2837",909134,39,2,-2,3,46200,4,9,13,6,12,8,1,1,10,15,8,7,3,1,6,6,2,4,3,3
"2839",909145,39,2,-2,-3,132500,7,-2,-2,5,-2,-2,1,1,10,-2,-2,-2,1,2,1,7,7,1,3,3
"2840",909146,39,1,2,4,76000,5,6,14,7,4,8,2,2,11,17,5,5,3,1,7,3,3,1,1,1
"2841",909151,39,2,-2,3,70000,12,6,31,11,6,7,1,1,8,23,6,6,3,1,6,2,2,2,3,3
"2844",909162,39,1,-2,3,88000,5,9,10,9,5,5,1,1,12,14,8,4,1,3,1,7,7,3,-3,-3
"2846",909170,39,2,2,3,0,6,10,27,2,6,4,1,1,6,21,6,5,3,1,6,4,4,1,3,3
"2847",909174,39,2,3,3,127000,8,-2,-2,7,-2,-2,2,1,26,-2,-2,-2,1,1,1,7,7,1,3,3
"2851",909191,39,2,-2,3,12144,10,11,-2,8,7,7,1,1,11,-2,5,6,1,1,1,5,7,1,2,2
"2852",909192,38,2,2,3,18000,10,13,28,8,6,7,2,1,10,18,6,6,1,1,3,5,5,1,2,2
"2853",909193,39,1,-2,4,50000,6,6,-2,4,7,6,1,2,8,-2,5,5,2,1,4,4,4,2,3,3
"2854",909196,39,2,-2,3,241800,15,-2,-2,10,-2,-2,2,1,13,-2,-2,-2,1,1,7,4,7,1,3,3
"2855",909198,40,1,2,4,53000,11,22,24,8,12,9,1,1,21,23,8,10,2,2,1,7,4,1,3,3
"2856",909201,39,2,3,4,92500,9,17,25,6,0,7,1,1,19,27,6,8,3,1,7,1,1,4,2,2
"2857",909205,39,2,-2,3,0,10,-3,-3,-4,-3,-3,1,1,-3,-3,-2,-2,-3,-3,-3,-3,-3,5,3,3
"2858",909208,39,2,-2,3,85000,12,-4,-2,-4,6,6,-29,1,-30,-30,-30,-30,1,3,5,2,4,1,3,3
"2859",909211,39,2,-1,3,70000,9,18,20,10,7,7,2,1,16,19,8,7,-3,-3,7,7,7,-3,1,3
"2862",909224,39,2,-2,3,11600,4,-2,-2,4,-2,-2,2,1,-3,-2,-2,-2,-3,-3,1,1,1,-3,3,3
"2863",909225,40,1,-2,3,33000,9,-2,-2,6,-2,-2,2,1,12,-2,-2,-2,1,2,1,7,7,1,3,3
"2865",909234,39,1,2,3,54500,8,9,28,7,6,6,1,1,7,22,0,6,2,1,7,1,1,1,3,3
"2868",909237,39,2,-2,3,0,6,21,-2,3,6,5,2,2,-4,-2,7,5,4,2,6,1,1,1,-3,-3
"2871",909247,39,1,4,4,3e+05,10,13,25,10,9,7,1,1,13,23,10,5,2,2,7,4,2,2,3,3
"2872",909249,39,1,-2,4,48000,6,13,24,7,0,6,1,1,6,19,10,7,1,1,1,7,7,1,3,3
"2874",909254,39,2,-2,4,68500,9,-2,-2,5,-2,-2,1,1,12,-2,-2,-2,1,1,1,7,7,1,3,3
"2875",909259,38,2,-2,4,14600,2,4,12,2,1,6,1,1,-3,11,0,6,1,1,-3,-3,-3,1,-3,-3
"2878",909264,38,1,2,3,0,10,11,20,9,10,4,2,1,9,26,9,5,1,1,4,5,5,1,3,3
"2879",909266,39,2,-2,3,19200,8,5,-2,5,0,2,1,1,4,-2,4,4,1,1,6,6,2,1,-3,-3
"2880",909269,38,2,-2,3,78000,10,16,26,6,8,8,1,1,10,20,8,7,4,3,7,3,2,1,1,1
"2886",909287,39,2,3,3,90000,13,12,25,9,9,6,1,1,-30,-30,-30,-30,1,1,-3,-3,-3,1,-3,-3
"2889",909292,38,1,2,4,155000,3,8,23,4,7,6,1,1,10,16,7,5,1,1,1,7,6,1,3,3
"2890",909293,39,2,2,3,111000,7,14,14,8,12,10,1,1,10,15,4,7,1,1,1,7,7,1,3,3
"2891",909294,38,1,-2,4,99400,6,3,-2,5,0,6,2,3,3,-2,4,3,1,1,1,6,6,1,3,3
"2892",909295,40,2,-2,4,4000,3,12,21,6,-5,-5,2,1,8,24,6,5,1,1,4,7,7,1,3,3
"2893",909304,39,2,-2,3,180000,8,-4,-2,3,6,9,1,1,8,-2,7,6,1,1,6,3,3,1,3,3
"2895",909309,39,2,-2,4,64500,4,-2,-2,4,-2,-2,2,1,14,-2,-2,-2,1,3,4,4,4,1,2,2
"2896",909311,39,2,2,4,66000,10,9,23,10,9,7,2,1,-4,21,7,7,5,3,6,2,5,3,2,2
"2900",909325,39,2,-2,3,18117,7,10,15,5,5,5,2,1,11,15,5,4,1,1,4,1,2,1,3,3
"2902",909332,39,1,2,3,109000,7,14,-2,6,6,3,1,1,15,-2,4,6,2,1,7,7,3,1,-3,-3
"2904",909337,39,2,-2,4,54000,9,8,21,7,9,8,2,1,6,17,6,6,1,1,2,5,6,1,3,3
"2905",909339,38,1,-2,3,35400,7,8,19,6,7,4,2,1,-3,16,7,7,1,1,3,6,5,1,3,3
"2908",909343,38,1,-2,-3,73000,6,4,13,7,6,4,1,1,7,15,8,4,1,1,3,6,6,4,3,3
"2909",909345,39,1,-2,3,23500,6,9,-2,5,12,8,1,1,4,-2,4,4,2,1,7,7,6,1,2,1
"2911",909350,39,1,2,3,78000,11,11,20,8,10,8,1,1,15,22,10,4,3,2,4,4,4,1,3,2
"2912",909351,39,2,-2,3,61000,3,8,14,3,9,5,2,1,-4,13,6,5,2,1,4,5,6,1,-3,-3
"2913",909352,38,1,3,3,57000,7,10,20,9,12,6,1,1,10,18,8,6,5,1,7,1,2,1,3,2
"2916",909362,39,2,-2,4,109000,7,-4,-4,-4,6,6,2,1,7,24,5,6,1,1,-3,-3,-3,1,-3,-3
"2918",909369,39,2,-2,3,23400,9,10,-4,7,4,7,1,1,-4,-4,6,6,-3,2,4,2,2,-3,2,2
"2926",909398,39,2,-2,3,32500,7,13,20,9,9,7,1,1,15,33,10,8,1,1,4,-3,-3,1,1,1
"2927",909400,38,2,-2,3,13000,9,10,17,10,6,5,1,1,8,16,2,4,1,1,6,4,1,1,3,3
"2929",909423,39,2,-2,4,47500,9,10,23,9,9,6,1,1,11,20,7,7,1,1,4,6,5,1,3,3
"2930",909429,39,2,-2,3,64000,9,14,-2,6,8,7,1,1,12,-2,8,5,5,1,6,3,1,1,3,3
"2931",909435,38,1,-2,2,29800,7,-2,-2,5,-2,-2,2,2,8,-2,-2,-2,1,1,3,4,4,1,-3,-3
"2932",909441,38,1,1,2,77000,12,8,-2,11,6,3,2,1,5,-2,4,5,1,1,3,7,7,1,-3,-3
"2935",909455,38,1,-2,3,56775,0,-2,-2,2,-2,-2,1,1,7,-2,-2,-2,1,1,4,4,6,1,3,3
"2937",909457,39,2,2,3,68000,10,13,33,9,6,6,1,1,9,26,6,4,1,1,5,4,4,1,3,3
"2938",909458,39,2,3,3,214500,7,25,-2,7,6,7,1,1,16,-2,6,5,1,1,5,2,3,1,3,2
"2939",909462,39,1,-2,4,45000,13,-2,-2,9,-2,-2,1,1,7,-2,-2,-2,1,1,4,7,7,1,2,3
"2942",909472,39,2,2,4,102500,7,15,32,9,7,9,1,1,23,41,7,8,4,2,7,1,1,1,2,2
"2945",909486,37,1,-2,3,35100,5,15,16,4,4,4,1,1,8,14,5,5,3,1,7,7,7,1,2,2
"2947",909493,38,1,-2,3,85300,9,15,-2,8,0,5,1,1,14,-2,0,3,1,1,2,6,6,1,3,3
"2950",909514,39,2,-2,3,54000,10,7,-2,7,7,7,1,1,8,-2,7,7,1,1,1,7,7,1,3,3
"2955",909529,39,1,2,4,131300,9,15,28,4,6,5,2,1,17,32,6,6,1,1,5,4,5,1,3,3
"2957",909533,40,1,-2,-3,7500,7,-4,-2,7,6,3,2,2,5,-2,4,1,1,1,2,6,2,1,3,3
"2959",909538,39,2,3,4,85500,6,15,-2,7,6,4,1,1,21,-2,8,7,1,1,4,4,4,1,3,3
"2960",909539,39,1,-2,3,23000,8,3,17,9,5,4,1,1,5,18,8,4,1,1,1,-3,-3,1,-3,-3
"2961",909545,38,1,2,3,79500,7,2,16,6,4,6,2,1,6,18,5,7,1,1,3,6,4,1,3,3
"2964",909554,39,2,-2,3,88500,4,15,18,4,8,9,1,1,9,18,5,5,1,1,6,3,4,5,1,2
"2967",909561,39,2,-2,3,47000,9,15,-2,6,6,6,2,1,14,-2,5,6,-3,-3,-3,-3,-3,-3,-3,-3
"2971",909573,39,2,-2,3,50700,8,10,17,5,5,5,2,3,-4,-3,2,2,1,1,2,7,7,1,3,3
"2977",909592,39,1,-2,3,60000,7,-3,-3,6,-3,6,1,1,13,20,9,5,1,2,2,7,7,1,1,1
"2979",909601,39,1,-2,2,6000,3,10,20,6,6,6,1,1,5,12,11,6,1,2,5,2,2,1,3,3
"2980",909605,39,2,2,3,27000,7,9,18,8,6,6,1,1,8,26,8,7,2,1,2,2,2,3,2,3
"2981",909606,38,2,-2,3,60000,8,14,26,3,6,4,2,3,-3,-3,-2,5,2,1,1,7,7,3,-3,-3
"2983",909612,39,1,-2,2,57900,6,7,21,8,6,5,2,3,6,15,6,5,1,1,1,7,7,1,3,3
"2984",909615,39,2,-2,4,38200,12,14,24,9,6,6,2,1,9,17,9,6,1,1,2,7,7,1,3,3
"2986",909623,39,2,-2,3,77000,13,12,20,11,6,5,2,1,15,15,6,6,1,1,5,5,6,1,-3,-3
"2989",909646,39,2,-2,4,0,11,19,-2,5,11,9,1,1,19,-2,10,7,3,2,7,1,1,2,-3,-3
"2991",909651,39,2,-2,3,33500,4,10,-2,4,6,6,1,1,9,-2,8,-2,2,1,5,3,4,1,3,3
"2992",909653,39,1,-2,3,61200,7,-4,17,5,6,5,2,1,7,20,6,5,1,1,2,6,6,1,3,3
"2994",909661,39,2,-2,3,700,10,11,-2,8,-3,-3,1,1,9,-2,8,6,3,1,5,5,1,3,3,3
"2996",909665,38,1,-2,3,126000,8,15,21,5,6,4,1,1,17,20,5,6,1,1,1,7,7,1,3,1
"2997",909666,39,1,2,4,131000,10,-2,-2,9,-2,-2,1,1,7,-2,-2,-2,1,1,2,7,6,1,3,3
"2998",909670,39,2,-2,2,20800,8,12,14,9,7,6,3,2,11,22,4,5,2,1,6,3,5,4,2,2
"2999",909671,39,1,-2,2,18030,6,11,-2,8,7,6,2,1,11,-2,4,7,1,1,-3,-3,-3,1,3,3
"3000",909674,39,2,3,4,125525,10,14,34,8,10,6,1,1,17,24,6,6,2,1,7,4,4,1,2,2
"3001",909679,39,2,-2,3,68600,9,4,19,8,9,9,1,1,11,24,6,6,1,1,3,6,6,1,2,2
"3002",909683,39,1,-2,4,42000,6,8,22,8,6,4,1,1,10,15,5,5,1,1,5,5,5,1,3,3
"3003",909686,38,1,2,3,3e+05,9,-2,-2,8,-2,-2,1,1,-4,-2,-2,-2,4,1,5,3,4,1,3,3
"3004",909689,37,2,-2,2,24000,6,8,-2,5,6,7,2,2,2,-2,6,4,4,4,4,3,4,4,3,3
"3005",909691,39,1,-2,3,42000,3,7,19,3,0,10,2,2,11,17,3,5,1,1,2,7,4,1,3,3
"3006",909695,39,1,-2,3,52200,7,12,24,4,8,7,1,1,11,21,11,6,1,1,4,2,3,1,3,2
"3008",909700,39,1,-2,4,53000,12,18,-2,10,12,7,2,1,9,-2,5,6,1,1,2,6,5,1,3,3
"3009",909702,39,2,3,3,140000,6,-2,-2,6,-2,-2,1,2,12,-2,-2,-2,2,1,2,2,2,5,2,1
"3013",909713,37,2,-2,3,34000,11,-2,-2,6,-2,-2,1,1,8,-2,-2,-2,3,3,1,1,1,1,3,3
"3014",909723,39,2,2,2,0,7,-4,-2,-4,9,4,2,1,11,-2,5,4,1,1,1,7,7,1,3,3
"3020",909741,39,1,4,4,0,0,-3,-2,4,-3,-3,1,1,-3,-2,-2,-2,1,1,-3,-3,-3,1,3,3
"3023",909748,39,2,-2,3,43000,5,12,9,6,8,5,2,1,11,-3,8,3,1,1,6,5,5,1,-3,-3
"3024",909753,39,1,-2,3,60000,5,9,-2,5,8,5,2,1,12,-2,8,4,-3,-3,-3,-3,-3,-3,-3,-3
"3025",909765,39,1,-2,3,93000,5,11,14,4,12,7,1,3,15,18,8,5,3,3,7,1,1,2,3,3
"3026",909766,39,1,-2,3,0,4,-4,11,3,0,6,1,2,4,10,4,5,-3,-3,-3,-3,-3,-3,-3,-3
"3030",909780,38,2,-2,3,0,3,27,-2,2,10,7,1,1,8,-2,4,3,1,3,1,5,7,1,3,3
"3039",909794,39,1,4,3,47500,6,10,23,7,10,3,1,1,7,22,6,3,2,1,1,7,7,1,3,3
"3040",909796,39,2,2,3,0,10,-2,-2,8,-2,-2,1,1,-4,-2,-2,-2,1,1,1,6,7,1,3,3
"3041",909800,40,2,3,4,90000,11,14,-2,8,9,7,1,1,15,-2,7,7,3,1,5,2,4,3,2,1
"3042",909803,39,1,-2,3,56200,8,-2,-2,3,-2,-2,1,1,7,-2,-2,-2,1,1,1,7,7,1,3,3
"3043",909804,39,2,3,-3,0,7,10,34,5,8,8,2,1,13,32,6,5,2,1,7,1,1,1,3,3
"3050",909835,39,1,-2,3,18900,7,9,15,5,4,5,1,1,12,19,6,6,4,1,6,1,1,1,3,3
"3052",909838,39,1,-2,3,70000,8,12,27,8,9,5,2,1,15,23,6,4,1,1,1,6,7,1,3,3
"3054",909840,38,2,-2,3,29000,11,-2,-2,9,-2,-2,1,1,12,-2,-2,-2,1,3,5,3,3,1,3,3
"3055",909848,38,1,-2,3,40000,8,10,-2,6,7,6,1,1,17,-2,8,7,1,1,1,7,7,1,3,3
"3056",909849,40,2,-2,3,90300,6,17,36,6,10,9,2,1,21,35,11,8,1,1,5,4,3,1,2,2
"3061",909861,38,2,-2,3,88000,8,14,14,8,11,9,2,1,14,21,8,5,2,1,7,2,2,1,3,3
"3063",909863,39,2,-2,4,98000,7,20,20,7,12,9,1,1,15,18,0,6,1,2,2,7,6,1,3,2
"3065",909868,39,2,2,3,47400,10,11,-2,8,-3,6,1,1,11,-2,6,5,1,2,6,3,3,2,3,3
"3067",909875,39,2,-2,3,86960,7,8,19,8,7,5,1,1,8,14,8,6,3,1,5,3,4,1,-3,-3
"3068",909881,38,1,-2,3,23500,5,-4,-4,-4,9,4,2,1,-4,18,7,4,1,1,1,7,7,1,3,3
"3070",909883,39,1,-2,3,76500,10,7,-2,9,6,5,1,1,10,-2,8,7,1,2,5,4,4,1,3,3
"3072",909894,39,2,-2,3,30000,4,9,-2,6,6,7,2,1,8,-2,6,6,4,3,7,1,1,1,2,2
"3074",909896,39,1,-2,3,84000,9,12,22,8,0,4,2,1,7,17,0,4,3,1,4,6,5,1,3,3
"3076",909899,39,1,2,3,72600,8,7,-2,8,9,5,1,1,-4,-2,8,5,1,1,1,7,5,1,1,1
"3077",909901,39,1,4,3,45500,12,19,20,10,6,4,1,1,13,16,6,5,2,2,6,2,2,3,3,3
"3082",909916,39,2,-2,3,73700,6,11,15,9,12,8,1,1,14,19,7,5,-3,1,7,7,7,-3,-3,-3
"3088",909944,39,2,-2,3,36200,8,7,23,6,11,6,2,2,9,18,9,8,1,1,5,3,3,1,3,3
"3090",909946,39,2,3,4,0,11,-4,-4,-4,7,9,1,1,17,27,5,5,1,1,3,7,3,1,3,3
"3091",909947,39,1,-2,4,37000,9,4,11,6,0,5,1,1,6,7,5,4,1,1,5,6,6,1,3,3
"3093",909950,39,1,-2,4,58000,4,-2,-2,4,-2,-2,1,1,10,-2,-2,-2,1,1,3,6,5,1,3,3
"3096",909962,39,2,-2,3,69000,9,9,-2,8,6,5,1,1,-30,-30,-30,-30,1,1,7,4,1,1,3,3
"3097",909963,39,1,-2,2,0,8,12,-2,8,10,6,2,1,9,-2,10,8,1,1,4,7,6,1,3,3
"3098",909965,39,2,-2,2,46100,7,-4,-4,-4,9,0,2,2,9,21,6,7,1,1,4,6,4,2,2,1
"3100",909973,39,1,-2,3,31800,8,6,17,6,7,8,1,1,4,21,5,5,1,1,5,4,5,1,1,1
"3104",909988,39,1,2,4,8200,10,14,23,9,6,5,1,1,14,18,5,4,3,1,4,4,7,1,3,3
"3106",909997,39,1,-2,3,40600,9,-2,-2,5,-2,-2,2,2,4,-2,-2,-2,1,1,1,7,7,1,3,3
"3108",910002,39,1,4,3,146500,15,9,-2,12,11,10,1,1,13,-2,11,7,1,1,5,2,4,1,3,3
"3109",910010,40,1,-2,4,52600,7,-2,-2,5,-2,-2,1,1,-4,-2,-2,-2,2,3,4,4,5,1,3,3
"3111",910022,38,2,2,3,44500,9,-2,-2,9,-2,-2,1,1,8,-2,-2,-2,3,1,3,5,5,1,2,1
"3112",910026,39,2,-2,3,43200,8,14,17,4,11,-4,2,2,8,15,8,5,1,1,5,5,5,1,3,3
"3114",910032,39,2,-2,3,43000,7,-2,-2,3,-2,-2,2,3,21,-2,-2,-2,2,2,7,7,7,2,2,2
"3115",910038,39,1,-2,3,36100,10,6,12,9,6,4,1,1,4,14,6,4,1,1,6,3,4,5,2,2
"3119",910050,39,1,-2,4,54100,3,7,24,4,4,8,2,2,15,23,0,4,1,1,2,5,6,1,3,3
"3120",910054,38,1,3,3,40000,8,15,-2,6,1,6,1,1,14,-2,4,5,3,1,7,2,1,3,1,1
"3124",910063,39,2,2,4,87500,11,15,-2,12,11,9,2,1,8,-2,8,7,1,2,4,4,4,2,2,1
"3125",910065,39,2,2,3,42000,6,13,-2,8,12,-4,2,1,12,-2,9,6,2,2,7,4,6,2,2,2
"3126",910066,39,2,-2,3,46000,6,-2,-2,4,-2,-2,2,2,5,-2,-2,-2,1,1,5,1,4,1,3,3
"3130",910085,39,2,-2,3,0,9,10,15,4,10,8,1,1,-30,-30,-30,-30,1,1,5,5,6,2,3,2
"3133",910093,39,2,-2,4,82000,8,-2,-2,5,-2,-2,2,1,7,-2,-2,-2,2,2,5,7,4,1,-3,-3
"3139",910115,39,1,-2,3,77900,7,-2,-2,8,-2,-2,1,1,15,-2,-2,-2,1,1,1,7,7,3,3,3
"3140",910118,38,2,-2,3,80000,8,11,18,5,10,9,1,1,12,22,4,5,1,1,5,3,3,-3,-3,-3
"3144",910128,39,1,-2,3,0,6,7,-2,5,7,7,1,1,9,-2,7,5,1,1,3,7,7,1,2,-3
"3146",910148,39,2,3,3,92000,7,10,22,8,11,6,2,1,10,19,6,8,2,1,3,7,7,1,3,3
"3148",910151,39,1,-2,4,73900,5,10,-2,4,11,4,3,3,11,-2,6,5,1,1,1,7,7,1,2,1
"3150",910169,40,1,4,3,65250,12,6,20,10,7,5,2,1,7,20,8,4,1,1,6,1,1,5,3,3
"3151",910171,39,1,3,3,153000,6,17,22,9,7,6,1,1,17,23,12,6,1,1,4,7,7,1,3,3
"3153",910182,39,2,-2,3,10000,6,17,-2,6,10,9,1,1,9,-2,5,4,2,1,7,1,1,2,3,2
"3154",910184,40,2,3,3,147000,10,10,22,10,7,5,1,1,16,14,6,6,2,1,6,4,3,4,2,3
"3157",910199,39,2,-2,3,50000,6,11,25,5,4,7,2,1,8,27,0,6,3,1,4,4,4,1,3,2
"3159",910203,39,2,2,3,45000,12,8,30,10,10,6,2,1,13,24,10,7,1,1,7,2,2,3,2,1
"3160",910208,39,1,-2,3,61500,7,9,-2,7,8,6,2,1,9,-2,9,6,1,1,5,4,5,3,3,3
"3161",910211,39,2,-2,3,0,8,7,21,2,6,5,1,1,-30,-30,-30,-30,1,1,1,7,7,1,3,3
"3164",910217,40,1,-2,3,54000,4,6,14,3,10,6,1,1,7,17,10,5,2,1,3,5,5,1,3,3
"3165",910218,40,1,4,3,158400,13,-2,-2,11,-2,-2,1,1,6,-2,-2,-2,3,3,7,1,1,1,3,3
"3168",910223,39,1,2,4,65200,12,14,-2,6,12,9,1,1,-4,-2,9,4,1,1,4,6,7,3,3,3
"3169",910225,39,1,-2,3,52500,8,-2,-2,10,-2,-2,2,1,13,-2,-2,-2,1,1,1,7,2,1,3,3
