"","personid","yob","sex","edu","childincomecompare","adultincome","y92_simscore","y04_letterflu","y04_catflu","y04_simscore","y04_digit","y04_imrecall","y11_remember","y11_solve","y11_letterflu","y11_catflu","y11_digit","y11_imrecall","y04_involvechar","y04_involveorgs","y04_volrarelythink","y04_volloss","y04_volselfimport","y04_involvehobby","y04_involveinstru10","y04_involveinstru35"
"94",900365,39,2,-2,3,37000,9,15,16,4,6,6,1,1,8,20,6,5,1,1,1,1,7,1,3,3
"95",900369,38,1,4,3,168000,12,18,24,9,11,7,1,1,15,26,10,5,2,2,2,7,7,1,3,2
"96",900371,39,1,4,3,276000,6,15,31,9,11,7,1,1,14,27,11,6,1,1,1,7,7,1,2,1
"101",900391,37,1,-2,3,52800,2,7,22,2,4,4,1,2,8,17,4,3,1,1,1,7,7,1,3,3
"105",900396,39,1,3,3,67260,7,4,24,8,10,6,1,1,8,14,10,4,3,1,3,6,5,1,3,3
"107",900400,39,1,-2,3,62600,14,-2,-2,8,-2,-2,1,2,11,-2,-2,-2,1,1,3,7,7,1,3,3
"110",900406,39,1,-2,5,47000,8,13,26,4,6,10,1,1,9,19,8,5,1,1,2,5,6,1,3,3
"111",900408,38,2,-2,3,35000,1,12,11,4,12,9,2,3,7,7,4,3,1,2,3,5,3,2,3,3
"113",900412,39,2,-2,3,140000,8,8,-2,7,11,8,1,1,10,-2,5,7,1,2,-3,-3,-3,1,-3,-3
"114",900416,39,2,2,3,190100,12,15,24,8,7,5,1,1,17,19,6,4,1,1,6,2,2,1,3,3
"115",900418,38,1,-2,2,158500,8,10,17,9,5,4,1,1,10,21,5,6,4,2,7,1,1,3,3,3
"116",900419,39,1,-2,3,120200,6,7,16,5,10,6,1,1,8,14,7,5,3,1,4,-3,-3,-3,-3,-3
"117",900420,39,1,2,3,86000,13,8,14,10,6,5,1,1,10,21,5,5,1,1,6,3,4,1,3,3
"118",900424,40,2,-2,2,65800,10,-2,-2,8,-2,-2,1,1,21,-2,-2,-2,1,1,5,6,4,4,3,3
"121",900434,37,2,-2,-3,60000,7,15,-2,10,10,6,1,1,-4,-2,7,6,2,2,4,5,6,2,3,3
"122",900440,39,2,3,4,142000,12,-4,-2,-4,6,8,1,1,11,-2,6,6,5,4,7,6,7,5,3,3
"123",900441,39,2,-2,3,86000,9,-2,-2,7,-2,-2,1,1,11,-2,-2,-2,1,1,5,5,5,1,-3,-3
"125",900452,39,1,-2,3,35000,4,8,20,4,8,8,2,1,9,23,7,5,1,1,2,7,4,1,3,3
"129",900463,39,1,2,3,51600,8,11,-2,9,9,7,2,2,7,-2,5,6,1,1,2,7,7,1,3,3
"130",900468,39,2,-2,3,82000,8,-2,-2,10,-2,-2,2,2,12,-2,-2,-2,3,1,3,3,3,1,3,3
"132",900471,39,1,2,3,102000,7,-2,-2,5,-2,-2,1,1,11,-2,-2,-2,1,1,1,7,7,1,3,3
"133",900475,39,2,1,3,45510,9,16,33,9,11,8,1,1,13,29,8,5,2,3,4,5,6,1,3,3
"138",900488,39,2,-2,3,20000,5,21,-2,4,12,7,2,1,16,-2,8,5,1,1,2,7,7,1,3,3
"141",900501,38,1,-2,4,42000,7,3,-2,4,4,9,2,1,3,-2,5,4,1,1,1,-3,7,1,3,3
"144",900511,38,2,-2,3,60000,10,-4,13,7,4,5,2,2,13,12,4,-2,3,3,7,5,4,1,3,3
"145",900515,39,1,-2,3,47000,11,11,30,10,10,7,2,1,16,27,10,6,1,1,1,7,7,1,3,3
"146",900526,39,1,2,4,115000,13,14,-2,10,6,6,2,2,-4,-2,6,7,1,1,2,7,7,1,1,1
"147",900537,39,2,3,3,185000,7,20,-2,10,10,7,2,1,13,-2,6,7,5,1,7,2,1,5,3,2
"148",900541,39,1,2,3,57000,7,16,-2,6,10,9,1,1,19,-2,5,5,3,1,7,1,1,1,3,3
"149",900545,39,1,-2,4,83000,2,14,14,4,3,4,3,2,12,19,0,5,1,1,1,7,7,1,3,3
"151",900555,39,1,1,3,66500,8,10,-2,7,0,7,1,1,-30,-30,-30,-30,1,1,5,7,3,1,3,3
"155",900572,39,2,-2,2,48300,7,-2,-2,7,-2,-2,1,1,-3,-2,-2,-2,2,1,7,4,7,2,3,3
"156",900579,39,2,4,3,96000,8,16,32,7,12,10,1,1,17,33,9,4,1,1,6,2,2,1,2,3
"157",900581,39,2,-2,2,0,11,-4,-4,-4,0,6,1,1,13,20,10,7,1,1,6,-3,7,1,3,3
"159",900590,38,1,-2,4,35000,2,5,-2,3,0,4,1,1,-3,-2,2,1,1,1,1,-3,-3,1,3,3
"160",900594,39,2,-2,3,58600,10,6,26,8,6,9,1,1,10,26,5,5,1,1,4,4,4,3,3,3
"162",900601,39,1,-2,3,61600,5,14,-2,5,0,5,2,2,6,-2,5,4,2,3,4,4,3,2,-3,-3
"166",900620,39,2,-2,3,0,5,13,-2,5,9,6,1,1,14,-2,9,5,3,3,5,5,5,-3,3,2
"169",900623,39,2,-2,3,44000,7,7,-2,3,6,9,1,1,7,-2,10,5,1,1,2,7,7,1,3,3
"170",900629,39,1,-2,3,104000,10,13,23,8,11,6,2,1,13,20,10,6,4,1,7,2,2,1,3,3
"171",900630,39,2,-2,3,32200,9,12,-2,9,8,8,1,1,9,-2,10,6,2,1,6,2,2,4,3,3
"175",900639,39,2,-2,3,109800,8,11,19,7,8,6,2,1,16,15,6,4,4,3,7,2,2,1,2,2
"176",900649,38,1,-2,3,28400,12,8,-2,6,0,5,1,1,8,-2,10,7,3,2,6,2,4,1,3,3
"180",900667,39,1,-2,3,58800,5,9,-2,8,6,5,1,1,9,-2,8,6,3,2,2,4,4,2,3,3
"182",900674,39,2,-2,3,28000,6,-2,-2,5,-2,-2,1,2,8,-2,-2,-2,1,1,7,1,1,1,2,2
